  (4 4 | 1 1) -> (14|2) -> (107) =   0.81702260532091
  (4 4 | 1 1) -> (14|2) -> (107) =   0.81702260532091
  (4 4 | 1 1) -> (14|2) -> (107) =   0.81702260532091
  (1 1 | 4 4) -> (2|14) -> (17) =   0.81702260532091
  (1 1 | 4 4) -> (2|14) -> (17) =   0.81702260532091
  (1 1 | 4 4) -> (2|14) -> (17) =   0.81702260532091
  (1 1 | 4 4) -> (2|14) -> (17) =   0.81702260532091
  (2 1 | 2 1) -> (4|4) -> (14) =   0.18051839210463
  (1 2 | 2 1) -> (3|4) -> (10) =   0.18051839210463
  (2 1 | 1 2) -> (4|3) -> (13) =   0.18051839210463
  (1 2 | 1 2) -> (3|3) -> (9) =   0.18051839210463
  (2 1 | 2 1) -> (4|4) -> (14) =   0.18051839210463
  (2 1 | 1 2) -> (4|3) -> (13) =   0.18051839210463
  (1 2 | 2 1) -> (3|4) -> (10) =   0.18051839210463
  (1 2 | 1 2) -> (3|3) -> (9) =   0.18051839210463
  (3 1 | 3 1) -> (7|7) -> (35) =   0.18051839210463
  (1 3 | 3 1) -> (4|7) -> (17) =   0.18051839210463
  (3 1 | 1 3) -> (7|4) -> (32) =   0.18051839210463
  (1 3 | 1 3) -> (4|4) -> (14) =   0.18051839210463
  (3 1 | 3 1) -> (7|7) -> (35) =   0.18051839210463
  (3 1 | 1 3) -> (7|4) -> (32) =   0.18051839210463
  (1 3 | 3 1) -> (4|7) -> (17) =   0.18051839210463
  (1 3 | 1 3) -> (4|4) -> (14) =   0.18051839210463
  (4 1 | 4 1) -> (11|11) -> (77) =   0.18051839210463
  (1 4 | 4 1) -> (5|11) -> (26) =   0.18051839210463
  (4 1 | 1 4) -> (11|5) -> (71) =   0.18051839210463
  (1 4 | 1 4) -> (5|5) -> (20) =   0.18051839210463
  (4 1 | 4 1) -> (11|11) -> (77) =   0.18051839210463
  (4 1 | 1 4) -> (11|5) -> (71) =   0.18051839210463
